MO,DY,NO_PREC,HIGH_PREC,YR_PREC,
1,1,33,1.02,2006,
1,2,36,0.37,2004,
1,3,36,1.08,1997,
1,4,35,0.38,1982,
1,5,36,0.94,2005,
1,6,35,0.39,1988,
1,7,36,0.29,1993,
1,8,36,1.32,1993,
1,9,36,0.42,2008,
1,10,37,0.92,2005,
1,11,35,1.28,2005,
1,12,36,0.72,1997,
1,13,36,0.42,1993,
1,14,35,0.56,1980,
1,15,36,0.90,1978,
1,16,36,0.34,1995,
1,17,35,0.55,1988,
1,18,36,0.32,1988,
1,19,35,1.10,1996,
1,20,35,0.42,1999,
1,21,35,0.80,2008,
1,22,36,0.92,2012,
1,23,36,0.54,1997,
1,24,36,0.79,2009,
1,25,36,0.72,1997,
1,26,35,0.91,2000,
1,27,36,0.51,1997,
1,28,36,0.45,2008,
1,29,36,0.83,1980,
1,30,36,0.65,2008,
1,31,36,0.41,1994,
2,1,34,0.90,2011,
2,2,35,3.40,2003,
2,3,35,1.05,2008,
2,4,35,0.32,1989,
2,5,33,0.44,1999,
2,6,34,0.34,1978,
2,7,35,0.40,1990,
2,8,35,2.60,2011,
2,9,34,0.60,1976,
2,10,34,0.41,2009,
2,11,33,0.53,2000,
2,12,34,1.13,2012,
2,13,34,1.31,1986,
2,14,34,0.63,1980,
2,15,34,0.60,2000,
2,16,34,0.68,1976,
2,17,34,0.64,1984,
2,18,33,1.22,1980,
2,19,34,1.62,1996,
2,20,34,0.89,1980,
2,21,34,0.37,1994,
2,22,34,0.42,1996,
2,23,34,0.53,1998,
2,24,34,0.67,1993,
2,25,34,0.43,1993,
2,26,36,0.55,2004,
2,27,35,0.56,2004,
2,28,34,1.06,1983,
2,29,36,0.59,2012,
3,1,33,0.41,1988,
3,2,35,0.59,1978,
3,3,36,0.93,1989,
3,4,36,0.42,1985,
3,5,36,0.84,2010,
3,6,36,0.62,1980,
3,7,36,0.70,2000,
3,8,35,0.18,2007,
3,9,36,0.88,1987,
3,10,36,0.47,2000,
3,11,36,0.76,1985,
3,12,36,0.63,1995,
3,13,36,0.61,1996,
3,14,36,0.69,2010,
3,15,36,0.63,1982,
3,16,36,0.32,1987,
3,17,36,0.49,2002,
3,18,36,0.77,2012,
3,19,36,0.58,2006,
3,20,36,0.42,2005,
3,21,36,0.18,1987,
3,22,36,0.41,1978,
3,23,36,0.60,1983,
3,24,36,0.72,2005,
3,25,36,0.49,2009,
3,26,36,0.35,1991,
3,27,36,0.46,1981,
3,28,36,1.41,1998,
3,29,36,0.63,1993,
3,30,36,0.34,2008,
3,31,35,0.98,1994,
4,1,35,0.42,2010,
4,2,36,0.51,1986,
4,3,36,0.71,1981,
4,4,36,0.21,2010,
4,5,35,0.52,1993,
4,6,36,1.21,2006,
4,7,36,2.30,2008,
4,8,37,0.81,2011,
4,9,37,3.10,2008,
4,10,36,1.40,2008,
4,11,36,2.20,2008,
4,12,36,3.00,2008,
4,13,36,0.47,2010,
4,14,35,0.25,1996,
4,15,35,0.85,2006,
4,16,36,0.52,2009,
4,17,36,0.48,1995,
4,18,36,0.57,2003,
4,19,37,0.53,2002,
4,20,36,0.21,1985,
4,21,36,0.61,2001,
4,22,36,0.54,1999,
4,23,36,0.72,1997,
4,24,36,0.54,1997,
4,25,36,1.05,1999,
4,26,37,0.76,2011,
4,27,36,0.59,2005,
4,28,36,0.22,1994,
4,29,36,0.40,1980,
4,30,36,0.80,1995,
5,1,36,0.52,1983,
5,2,36,1.12,1995,
5,3,36,1.19,1999,
5,4,36,0.52,1993,
5,5,36,0.59,2007,
5,6,36,0.98,1980,
5,7,36,0.51,1979,
5,8,37,0.86,2011,
5,9,36,0.66,1992,
5,10,37,0.67,1991,
5,11,37,0.77,1983,
5,12,36,0.76,1995,
5,13,36,0.51,1987,
5,14,37,0.36,2011,
5,15,36,0.70,1999,
5,16,36,0.75,1981,
5,17,36,0.42,2005,
5,18,37,0.52,1982,
5,19,36,0.55,1988,
5,20,37,1.27,2011,
5,21,36,0.94,2008,
5,22,37,0.41,2002,
5,23,37,0.81,1996,
5,24,35,1.12,2009,
5,25,35,0.40,1977,
5,26,35,0.47,1981,
5,27,35,0.89,1975,
5,28,35,0.38,1979,
5,29,36,0.70,1988,
5,30,37,0.55,2011,
5,31,36,0.65,1991,
6,1,34,0.43,1991,
6,2,34,1.06,1999,
6,3,34,0.38,1995,
6,4,33,0.21,1995,
6,5,34,0.77,1984,
6,6,33,0.81,1984,
6,7,34,0.87,1984,
6,8,35,0.90,2006,
6,9,35,0.44,1995,
6,10,34,0.58,2004,
6,11,34,0.66,1990,
6,12,34,0.77,2010,
6,13,34,1.10,1998,
6,14,34,0.25,2009,
6,15,34,0.33,1992,
6,16,34,0.52,2004,
6,17,34,0.82,1998,
6,18,34,0.78,2000,
6,19,34,0.60,2000,
6,20,35,0.64,2011,
6,21,34,0.47,1996,
6,22,34,0.22,1976,
6,23,34,0.02,1975,
6,24,34,0.92,2003,
6,25,34,0.90,1985,
6,26,34,0.48,1988,
6,27,35,0.40,1996,
6,28,35,0.19,1987,
6,29,36,0.38,1987,
6,30,35,0.42,1987,
7,1,36,0.55,1981,
7,2,36,0.41,1977,
7,3,37,0.82,1995,
7,4,37,0.30,1977,
7,5,36,0.22,1982,
7,6,36,0.53,1998,
7,7,36,0.48,1992,
7,8,37,0.58,1990,
7,9,37,0.75,1981,
7,10,36,0.84,1975,
7,11,36,0.32,1992,
7,12,36,0.72,2001,
7,13,37,0.36,1980,
7,14,36,0.78,2004,
7,15,36,0.33,1986,
7,16,36,0.50,1975,
7,17,37,0.47,1976,
7,18,36,0.21,1999,
7,19,36,0.34,2004,
7,20,36,0.56,1976,
7,21,36,0.67,1985,
7,22,36,0.59,2008,
7,23,36,0.34,1985,
7,24,36,0.82,1977,
7,25,36,0.93,1990,
7,26,37,0.60,2011,
