MO,DY,NO_PREC,HIGH_PREC,YR_PREC,
1,1,35,0.19,1970,
1,2,35,0.57,1955,
1,3,35,0.33,1955,
1,4,35,0.26,1957,
1,5,35,0.42,1974,
1,6,35,0.35,1967,
1,7,34,0.47,1975,
1,8,35,0.50,1985,
1,9,35,0.24,1950,
1,10,35,0.25,1970,
1,11,35,0.21,1958,
1,12,34,0.19,1972,
1,13,35,0.42,1957,
1,14,35,0.72,1969,
1,15,34,0.61,1991,
1,16,35,0.61,1956,
1,17,35,0.78,1973,
1,18,35,0.53,1955,
1,19,35,0.95,1973,
1,20,35,0.53,1969,
1,21,35,0.47,1949,
1,22,35,0.62,1969,
1,23,35,0.41,1956,
1,24,35,0.95,1965,
1,25,34,1.93,1969,
1,26,35,0.29,1958,
1,27,35,0.32,1956,
1,28,35,0.32,1987,
1,29,35,0.17,1969,
1,30,35,0.22,1958,
1,31,35,0.75,1963,
2,1,35,0.31,1963,
2,2,35,0.87,1960,
2,3,35,0.50,1989,
2,4,35,0.38,1989,
2,5,35,0.45,1949,
2,6,35,1.00,1966,
2,7,35,0.64,1966,
2,8,35,0.33,1959,
2,9,35,0.52,1962,
2,10,35,0.48,1975,
2,11,35,0.68,1959,
2,12,35,0.55,1973,
2,13,35,0.85,1968,
2,14,35,0.93,1987,
2,15,35,0.24,1986,
2,16,35,0.42,1955,
2,17,35,0.62,1991,
2,18,35,0.90,1990,
2,19,35,0.50,1986,
2,20,35,0.33,1968,
2,21,35,0.34,1952,
2,22,35,0.36,1959,
2,23,35,0.12,1959,
2,24,35,0.66,1962,
2,25,35,0.58,1969,
2,26,35,0.35,1969,
2,27,35,0.53,1968,
2,28,35,0.47,1955,
2,29,8,0.02,1964,
3,1,36,1.02,1952,
3,2,36,0.39,1966,
3,3,36,0.91,1957,
3,4,36,0.09,1961,
3,5,36,0.45,1990,
3,6,36,0.39,1975,
3,7,36,0.59,1962,
3,8,36,0.39,1987,
3,9,36,0.69,1986,
3,10,36,0.41,1952,
3,11,36,0.29,1985,
3,12,36,0.31,1954,
3,13,36,0.34,1960,
3,14,36,0.65,1984,
3,15,36,0.26,1990,
3,16,35,0.53,1958,
3,17,35,0.34,1970,
3,18,35,0.65,1963,
3,19,35,0.29,1952,
3,20,35,0.36,1989,
3,21,36,0.44,1954,
3,22,36,0.31,1975,
3,23,35,0.45,1952,
3,24,36,0.66,1952,
3,25,35,0.58,1985,
3,26,35,0.29,1965,
3,27,34,0.28,1961,
3,28,35,0.36,1963,
3,29,35,0.25,1967,
3,30,35,0.33,1954,
3,31,35,0.28,1959,
4,1,36,0.45,1957,
4,2,36,0.71,1974,
4,3,36,0.42,1974,
4,4,36,0.22,1974,
4,5,36,0.32,1958,
4,6,36,0.52,1968,
4,7,36,0.26,1961,
4,8,36,0.31,1962,
4,9,36,0.22,1984,
4,10,36,0.21,1974,
4,11,36,0.48,1970,
4,12,36,0.35,1974,
4,13,36,0.28,1972,
4,14,36,0.25,1952,
4,15,36,0.32,1963,
4,16,36,0.37,1963,
4,17,36,0.29,1986,
4,18,36,0.36,1956,
4,19,36,0.39,1971,
4,20,35,0.45,1974,
4,21,35,0.26,1973,
4,22,35,0.51,1957,
4,23,35,0.50,1960,
4,24,35,0.51,1951,
4,25,35,0.14,1986,
4,26,35,0.36,1984,
4,27,35,0.42,1959,
4,28,35,0.29,1953,
4,29,35,0.24,1951,
4,30,36,0.89,1954,
5,1,34,0.28,1988,
5,2,34,0.70,1964,
5,3,34,0.42,1959,
5,4,34,0.45,1960,
5,5,34,0.29,1965,
5,6,34,0.42,1950,
5,7,34,0.38,1972,
5,8,34,0.26,1964,
5,9,34,0.66,1966,
5,10,34,0.85,1985,
5,11,34,0.22,1987,
5,12,34,0.72,1949,
5,13,34,0.42,1965,
5,14,34,0.29,1949,
5,15,34,0.14,1957,
5,16,34,0.42,1952,
5,17,34,0.68,1949,
5,18,34,0.26,1988,
5,19,34,0.26,1957,
5,20,34,0.66,1953,
5,21,34,0.29,1954,
5,22,34,0.29,1968,
5,23,34,0.16,1957,
5,24,34,0.72,1957,
5,25,34,0.76,1967,
5,26,34,0.25,1987,
5,27,34,0.22,1962,
5,28,34,0.65,1956,
5,29,34,0.21,1962,
5,30,34,0.45,1971,
5,31,34,0.14,1971,
6,1,34,0.42,1991,
6,2,33,0.14,1973,
6,3,33,0.47,1949,
6,4,34,0.13,1967,
6,5,34,0.78,1968,
6,6,34,0.79,1984,
6,7,34,0.75,1984,
6,8,34,0.61,1972,
6,9,34,0.41,1989,
6,10,34,0.75,1970,
6,11,34,0.70,1990,
6,12,34,0.28,1990,
6,13,34,0.31,1955,
6,14,34,0.37,1973,
6,15,34,0.28,1969,
6,16,34,0.52,1969,
6,17,34,0.42,1964,
6,18,34,0.16,1963,
6,19,34,0.08,1967,
6,20,34,0.19,1967,
6,21,34,0.25,1969,
6,22,34,0.14,1964,
6,23,34,0.09,1972,
6,24,34,0.45,1969,
6,25,34,0.85,1985,
6,26,34,0.42,1988,
6,27,34,0.29,1959,
6,28,34,0.25,1962,
6,29,34,0.74,1987,
6,30,34,0.22,1987,
7,1,35,0.00,1991,
7,2,35,0.12,1949,
7,3,35,0.21,1949,
7,4,35,0.38,1954,
7,5,35,0.47,1952,
7,6,35,0.34,1970,
7,7,35,0.33,1960,
7,8,35,0.19,1991,
7,9,35,0.42,1970,
7,10,35,0.19,1953,
7,11,35,0.33,1987,
7,12,35,0.36,1984,
7,13,35,0.04,1966,
7,14,35,0.29,1967,
7,15,35,0.45,1986,
7,16,35,0.45,1951,
7,17,35,0.59,1985,
7,18,35,0.68,1965,
7,19,35,0.47,1973,
7,20,35,0.32,1987,
7,21,35,0.19,1966,
7,22,35,0.48,1970,
7,23,35,0.45,1985,
7,24,35,0.79,1966,
7,25,35,1.04,1951,
7,26,35,0.75,1962,
7,27,35,0.29,1954,
7,28,35,0.38,1985,
7,29,35,0.45,1968,
7,30,35,0.33,1988,
7,31,35,0.71,1952,
8,1,34,0.18,1953,
8,2,34,0.58,1961,
8,3,34,0.38,1966,
8,4,34,0.63,1948,
8,5,34,0.51,1957,
8,6,34,0.22,1986,
8,7,34,0.58,1952,
8,8,34,0.57,1948,
8,9,34,0.25,1955,
8,10,34,0.39,1967,
8,11,34,0.19,1991,
8,12,34,0.42,1986,
8,13,34,0.59,1972,
8,14,34,0.33,1989,
8,15,34,0.38,1953,
8,16,34,0.44,1969,
8,17,34,0.48,1989,
8,18,34,0.34,1956,
8,19,34,0.48,1969,
8,20,34,0.47,1951,
8,21,33,0.77,1951,
8,22,34,0.75,1952,
8,23,34,0.79,1987,
8,24,34,0.13,1955,
8,25,34,0.38,1991,
8,26,34,0.25,1952,
8,27,34,0.42,1952,
8,28,34,0.33,1972,
8,29,34,0.68,1961,
8,30,34,0.21,1986,
8,31,34,0.63,1963,
9,1,35,0.35,1966,
9,2,35,0.29,1985,
9,3,35,1.54,1954,
9,4,35,0.29,1954,
9,5,35,0.75,1963,
9,6,35,0.59,1970,
9,7,35,0.74,1991,
9,8,35,0.28,1961,
9,9,35,0.68,1961,
9,10,35,0.39,1985,
9,11,35,0.22,1985,
9,12,35,0.58,1958,
9,13,35,0.50,1954,
9,14,35,0.37,1966,
9,15,35,0.29,1959,
9,16,35,0.48,1965,
9,17,35,0.58,1961,
9,18,35,0.70,1989,
9,19,35,0.32,1972,
9,20,35,0.59,1989,
9,21,35,0.38,1984,
9,22,35,0.37,1967,
9,23,35,0.28,1954,
9,24,35,0.31,1986,
9,25,35,0.75,1986,
9,26,35,0.09,1962,
9,27,35,0.18,1986,
9,28,35,0.56,1953,
9,29,35,0.32,1968,
9,30,35,0.14,1971,
10,1,35,0.57,1986,
10,2,35,0.59,1984,
10,3,35,0.17,1984,
10,4,35,0.22,1972,
10,5,35,0.56,1962,
