MO DY AVG  NO  HI   YR  LO   YR AVG  NO  HI   YR  LO   YR   AVG  NO  HIGH   YR   AVG  NO  HIGH   YR   AVG  NO  HIGH   YR HDD   NO  CDD  NO
 1  1  33  24  47 1987  19 1973  -1  24  16 1968 -20 1973 0.019  35  0.19 1970  0.20  35   3.0 1949   6.5  22   19. 1949 49.2  24  0.0  24
 1  2  33  24  50 1987  18 1974  -1  24  17 1990 -23 1974 0.041  35  0.57 1955  0.64  35   7.0 1955   5.7  23   16. 1989 49.5  24  0.0  24
 1  3  32  24  44 1986  10 1974  -3  24  12 1965 -24 1974 0.018  35  0.33 1955  0.23  35   4.0 1955   5.8  22   15. 1973 50.5  24  0.0  24
 1  4  32  24  43 1967  10 1971  -3  24  24 1992 -27 1972 0.024  35  0.26 1957  0.40  34   4.5 1957   5.6  22   15. 1973 50.5  24  0.0  24
 1  5  33  24  45 1969   6 1971   2  24  19 1965 -28 1973 0.032  35  0.42 1974  0.53  35   5.0 1974   5.9  20   15. 1989 47.7  24  0.0  24
 1  6  34  24  51 1969   5 1971   5  24  20 1975 -34 1971 0.041  35  0.35 1967  0.71  35   7.0 1959   5.5  21   15. 1973 46.0  24  0.0  24
 1  7  36  24  60 1969  14 1971   4  24  22 1962 -22 1973 0.049  34  0.47 1975  0.74  34   6.0 1975   6.7  22   24. 1952 45.4  24  0.0  24
 1  8  35  24  53 1969  20 1964   3  24  35 1962 -18 1973 0.070  35  0.50 1985  0.94  35   7.0 1985   7.1  22   22. 1949 46.0  24  0.0  24
 1  9  35  24  53 1990  19 1964   3  24  24 1971 -20 1964 0.015  35  0.24 1950  0.26  35   6.0 1950   6.4  21   18. 1950 46.3  24  0.0  24
 1 10  36  24  49 1990  20 1962   6  24  24 1970  -8 1987 0.023  35  0.25 1970  0.32  34   2.0 1970   6.1  22   23. 1949 44.5  24  0.0  24
 1 11  35  24  50 1990  15 1963   6  24  22 1966 -10 1987 0.028  35  0.21 1958  0.61  36   4.0 1958   6.8  23   22. 1949 45.0  24  0.0  24
 1 12  35  24  51 1990  18 1963   6  24  29 1972 -24 1968 0.021  34  0.19 1972  0.29  35   3.0 1960   6.0  22   23. 1949 44.6  24  0.0  24
 1 13  34  23  47 1973  13 1963   3  23  28 1990 -29 1963 0.034  35  0.42 1957  0.37  35   5.0 1972   6.8  22   26. 1952 46.8  23  0.0  23
 1 14  35  24  46 1986  19 1964   6  24  32 1969 -19 1964 0.083  35  0.72 1969  0.82  36   6.0 1984   6.8  22   20. 1950 44.4  24  0.0  24
 1 15  36  24  49 1961  24 1984   6  24  28 1991 -16 1984 0.033  34  0.61 1991  0.50  34   9.0 1991   5.5  19   13. 1991 44.3  24  0.0  24
 1 16  35  24  49 1961   8 1984   5  24  28 1971 -27 1984 0.049  35  0.61 1956  0.41  35   8.0 1955   6.0  22   25. 1952 45.4  24  0.0  24
 1 17  36  24  54 1971   6 1984   6  24  36 1971 -13 1968 0.063  35  0.78 1973  0.57  36   8.0 1973   5.4  20   16. 1973 43.7  24  0.0  24
 1 18  38  24  50 1986  12 1984   7  24  33 1971 -31 1984 0.045  35  0.53 1955  0.64  35   7.0 1955   7.3  22   29. 1952 42.9  24  0.0  24
 1 19  37  24  49 1985  14 1984   7  24  34 1971 -26 1963 0.080  35  0.95 1973  1.17  35  12.0 1962   6.1  21   26. 1973 43.2  24  0.0  24
 1 20  37  24  50 1971  15 1984   5  24  35 1969 -26 1984 0.035  35  0.53 1969  0.29  35   4.0 1962   6.2  21   26. 1973 44.4  24  0.0  24
 1 21  35  24  47 1972  16 1984   5  24  33 1969 -17 1984 0.072  35  0.47 1949  1.00  36   9.0 1949   8.4  23   28. 1952 45.5  24  0.0  24
 1 22  36  24  49 1972  22 1973   5  24  35 1972 -17 1988 0.049  35  0.62 1969  0.37  35   4.0 1951   7.3  21   32. 1949 45.0  24  0.0  24
 1 23  38  24  55 1970  17 1962   4  24  33 1970 -21 1962 0.037  35  0.41 1956  0.36  36   3.0 1957   5.9  20   26. 1973 44.2  24  0.0  24
 1 24  38  24  54 1971  15 1962   5  24  31 1970 -23 1962 0.083  35  0.95 1965  0.77  35  12.0 1950   8.3  23   27. 1952 44.1  24  0.0  24
 1 25  39  24  52 1975  21 1962   7  23  28 1984 -15 1989 0.189  34  1.93 1969  2.11  35  23.0 1967  10.1  25   30. 1967 41.8  23  0.0  23
 1 26  40  24  54 1987  23 1989   9  23  26 1969 -18 1989 0.036  35  0.29 1958  0.33  36   3.0 1974   8.1  22   26. 1967 40.4  23  0.0  23
 1 27  40  24  60 1987  30 1990   7  24  36 1968 -13 1991 0.029  35  0.32 1956  0.23  35   2.0 1990   8.1  23   24. 1973 42.1  24  0.0  24
 1 28  37  24  54 1987  25 1975   6  24  26 1969 -15 1973 0.043  35  0.32 1987  0.56  34   4.0 1959   8.0  20   24. 1973 43.6  24  0.0  24
 1 29  37  24  55 1971  26 1975   5  24  31 1963 -16 1991 0.009  35  0.17 1969  0.14  35   2.0 1969   7.7  20   24. 1973 44.5  24  0.0  24
 1 30  37  24  54 1971  22 1985   5  24  35 1965 -20 1991 0.020  35  0.22 1958  0.20  35   3.0 1958   6.9  20   24. 1973 44.0  24  0.0  24
 1 31  39  24  60 1971  13 1985   8  24  38 1963 -16 1972 0.042  35  0.75 1963  0.17  35   4.0 1990   7.1  20   24. 1973 41.8  24  0.0  24
 2  1  38  24  53 1992  10 1985   8  24  38 1963 -31 1985 0.028  35  0.31 1963  0.32  34   3.0 1990   8.4  19   30. 1949 42.3  24  0.0  24
 2  2  38  24  52 1992  22 1985   6  24  32 1963 -12 1985 0.067  35  0.87 1960  0.82  34  13.0 1960  10.7  19   30. 1949 43.4  24  0.0  24
 2  3  37  24  52 1963  22 1972   5  24  26 1986 -16 1969 0.027  35  0.50 1989  0.28  34   3.0 1949   9.4  18   32. 1949 44.1  24  0.0  24
 2  4  37  24  52 1963  18 1985   7  24  29 1970 -16 1988 0.039  35  0.38 1989  0.41  34   5.0 1949   9.1  19   35. 1949 43.1  24  0.0  24
 2  5  40  24  61 1963  18 1985   6  24  31 1963 -23 1985 0.034  35  0.45 1949  0.44  34   7.0 1949   9.6  20   40. 1949 42.6  24  0.0  24
 2  6  39  24  59 1963  11 1989   7  24  30 1969 -37 1989 0.093  35  1.00 1966  0.82  34  12.0 1966   7.8  20   25. 1973 42.5  24  0.0  24
 2  7  39  24  56 1987  19 1989  10  24  26 1962 -32 1989 0.037  35  0.64 1966  0.57  35  10.0 1990   8.3  17   23. 1973 40.6  24  0.0  24
 2  8  39  24  59 1963  28 1990   4  24  30 1992 -27 1989 0.023  35  0.33 1959  0.17  35   3.0 1959   8.0  20   23. 1973 43.6  24  0.0  24
 2  9  40  24  57 1970  25 1986  11  24  31 1962 -13 1974 0.068  35  0.52 1962  0.31  35   4.0 1985   8.9  21   23. 1973 39.8  24  0.0  24
 2 10  41  24  58 1970  24 1986  13  24  32 1962 -10 1974 0.042  35  0.48 1975  0.41  34   5.0 1973   8.5  20   28. 1973 38.2  24  0.0  24
