MO,DY,NO_PREC,HIGH_PREC,YR_PREC,
1,1,38,0.55,1960,
1,2,38,0.55,1993,
1,3,38,0.25,1977,
1,4,38,1.01,1988,
1,5,38,1.00,1982,
1,6,38,0.84,1986,
1,7,38,1.39,1962,
1,8,38,1.09,1975,
1,9,38,0.80,1971,
1,10,38,0.68,1970,
1,11,38,1.31,1979,
1,12,37,1.30,1980,
1,13,37,0.58,1980,
1,14,37,1.03,1980,
1,15,38,1.49,1991,
1,16,37,0.66,1970,
1,17,37,0.91,1973,
1,18,36,0.36,1979,
1,19,37,0.66,1962,
1,20,38,0.68,1962,
1,21,38,0.80,1969,
1,22,38,0.54,1970,
1,23,38,0.60,1983,
1,24,37,0.57,1957,
1,25,38,1.56,1967,
1,26,38,1.70,1959,
1,27,37,0.25,1974,
1,28,37,0.60,1987,
1,29,38,1.13,1980,
1,30,38,1.11,1965,
1,31,38,1.34,1963,
2,1,38,0.40,1963,
2,2,38,1.02,1971,
2,3,38,0.88,1982,
2,4,38,0.55,1989,
2,5,38,0.85,1958,
2,6,38,0.66,1966,
2,7,38,0.64,1990,
2,8,38,0.90,1983,
2,9,38,1.02,1960,
2,10,37,0.87,1960,
2,11,37,0.70,1994,
2,12,38,1.20,1962,
2,13,38,1.33,1986,
2,14,38,0.95,1987,
2,15,38,0.98,1958,
2,16,38,1.20,1991,
2,17,37,0.53,1962,
2,18,36,1.79,1980,
2,19,37,1.82,1983,
2,20,37,1.03,1963,
2,21,37,1.63,1962,
2,22,38,1.08,1977,
2,23,38,0.24,1979,
2,24,38,0.62,1993,
2,25,38,0.77,1958,
2,26,38,0.67,1981,
2,27,38,0.60,1983,
2,28,38,1.60,1983,
2,29,38,0.02,1960,
3,1,38,0.60,1978,
3,2,38,1.66,1978,
3,3,38,1.14,1978,
3,4,37,2.11,1980,
3,5,38,0.99,1957,
3,6,38,0.89,1961,
3,7,36,1.13,1962,
3,8,37,0.42,1986,
3,9,37,1.17,1986,
3,10,38,0.71,1962,
3,11,38,0.58,1986,
3,12,38,0.54,1980,
3,13,37,0.43,1973,
3,14,38,0.60,1984,
3,15,38,1.09,1982,
3,16,38,0.54,1961,
3,17,38,0.74,1968,
3,18,38,1.15,1963,
3,19,38,0.67,1994,
3,20,38,0.33,1981,
3,21,37,0.85,1981,
3,22,37,0.67,1975,
3,23,37,0.80,1983,
3,24,37,0.81,1978,
3,25,37,2.15,1983,
3,26,38,0.74,1961,
3,27,37,0.91,1961,
3,28,37,0.72,1965,
3,29,38,1.05,1979,
3,30,38,0.90,1981,
3,31,37,0.60,1974,
4,1,38,0.90,1978,
4,2,38,1.27,1986,
4,3,37,0.85,1989,
4,4,38,1.27,1958,
4,5,37,0.57,1993,
4,6,38,0.87,1968,
4,7,38,0.79,1994,
4,8,37,0.79,1963,
4,9,37,0.69,1984,
4,10,37,1.43,1974,
4,11,38,0.50,1970,
4,12,38,0.53,1979,
4,13,37,0.74,1986,
4,14,37,0.24,1981,
4,15,37,0.99,1969,
4,16,37,0.68,1975,
4,17,37,0.78,1986,
4,18,37,0.82,1966,
4,19,37,0.70,1979,
4,20,37,0.81,1963,
4,21,37,1.12,1962,
4,22,37,0.93,1963,
4,23,36,1.32,1957,
4,24,36,0.85,1964,
4,25,36,0.52,1964,
4,26,36,1.14,1964,
4,27,35,1.33,1963,
4,28,35,0.69,1970,
4,29,37,0.39,1991,
4,30,36,0.49,1983,
5,1,37,0.96,1983,
5,2,37,1.74,1964,
5,3,37,0.80,1991,
5,4,37,1.27,1993,
5,5,37,1.27,1964,
5,6,37,1.01,1993,
5,7,37,1.05,1975,
5,8,37,1.71,1986,
